instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq203,new_york_plus,bigquery,2,18,18,2,1.000,0.111,1,1,2,29.8,853,360,9128,5,325,1.000,0.015,1,1,,
bq035,san_francisco,bigquery,2,8,8,2,1.000,0.250,1,1,2,228.3,118,118,5205,7,118,1.000,0.059,1,6,,
bq186,san_francisco,bigquery,1,8,8,1,1.000,0.125,1,1,1,16.3,118,118,5218,,,,,,,,
bq081,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,1,6,385.1,278,278,13418,10,272,1.000,0.037,1,2,,
sf_bq294,SAN_FRANCISCO_PLUS,snowflake,3,19,19,3,1.000,0.158,1,0,10,246.7,278,278,11378,14,272,1.000,0.051,1,0,,
bq339,san_francisco_plus,bigquery,1,19,19,1,1.000,0.053,1,1,1,47.2,278,278,13255,3,272,1.000,0.011,1,6,,
bq400,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,0,8,33.0,278,278,14344,9,272,1.000,0.033,1,0,,
bq059,san_francisco_plus,bigquery,3,19,19,3,1.000,0.158,1,0,10,43.5,278,278,13291,13,272,1.000,0.048,1,1,,
bq376,san_francisco_plus,bigquery,6,19,19,6,1.000,0.316,1,0,9,28.3,278,278,13185,4,272,1.000,0.015,1,5,,
sf_bq014,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,205.7,73,73,2650,,,,,,,,
sf_bq188,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,6,9.4,73,73,2586,,,,,,,,
sf_bq258,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,12.8,73,73,2650,,,,,,,,
sf_bq259,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,3,8.5,73,73,2100,,,,,,,,
sf_bq189,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,10.1,73,73,2650,,,,,,,,
sf_bq260,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,7.1,73,73,2100,5,73,1.000,0.068,1,1,,
sf_bq261,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,4,11.2,73,73,1989,,,,,,,,
sf_bq262,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,14.8,73,73,2650,,,,,,,,
sf_bq190,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,9.4,73,73,2100,,,,,,,,
sf_bq263,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,11.7,73,73,2650,9,73,1.000,0.123,1,7,,
sf_bq264,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,2,8.5,73,73,2100,6,73,1.000,0.082,1,0,,
sf_bq197,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,2,10.0,73,73,2583,,,,,,,,
sf_bq265,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,3,9.0,73,73,2588,19,73,1.000,0.260,1,8,,
sf_bq266,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,3,8.9,73,73,2583,,,,,,,,
sf_bq333,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,8.9,73,73,2100,,,,,,,,
sf_bq361,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,2,7.2,73,73,2100,,,,,,,,
sf_bq271,THELOOK_ECOMMERCE,snowflake,5,7,7,5,1.000,0.714,1,0,7,9.4,73,73,2588,20,73,1.000,0.274,1,2,,
sf_bq272,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,4,8.7,73,73,2358,,,,,,,,
sf_bq273,THELOOK_ECOMMERCE,snowflake,4,7,7,4,1.000,0.571,1,1,5,9.1,73,73,2588,18,73,1.000,0.247,1,3,,
sf_bq020,GENOMICS_CANNABIS,snowflake,2,7,7,2,1.000,0.286,1,1,3,333.1,159,159,4609,,,,,,,,
sf_bq107,GENOMICS_CANNABIS,snowflake,2,7,7,2,1.000,0.286,1,1,3,12.4,159,159,4587,,,,,,,,
bq025,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,1,3,212.7,165,165,3551,9,119,1.000,0.076,1,0,,
bq115,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,0,7,14.7,165,165,3554,9,119,1.000,0.076,1,0,,
bq030,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,407.5,701,701,657,,,,,,,,
bq018,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,46.0,701,701,771,3,60,0.667,0.033,0,2,,covid19_open_data.country_name
bq086,covid19_open_world_bank,bigquery,2,9,22,2,1.000,0.222,1,1,2,307.2,1015,1015,6002,7,274,0.429,0.011,0,2,,covid19_open_data.aggregation_level;covid19_open_data.country_code;covid19_open_data.country_name;covid19_open_data.date
bq085,covid19_jhu_world_bank,bigquery,2,12,25,2,1.000,0.167,1,0,9,574.8,3771,3771,10280,7,407,1.000,0.017,1,4,,
bq130,covid19_nyt,bigquery,2,4,4,2,1.000,0.500,1,1,2,370.6,29,29,1055,9,29,1.000,0.310,1,5,,
bq087,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,2,370.7,2580,1722,9190,4,240,0.500,0.008,0,2,,symptom_search_sub_region_*_weekly.sub_region_1;symptom_search_sub_region_*_weekly.sub_region_2
bq088,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,1,82.1,2580,1722,9214,4,240,0.750,0.013,0,4,,symptom_search_country_weekly.date
bq089,covid19_usa,bigquery,2,20,22,2,1.000,0.100,1,0,12,854.2,70861,6165,47991,6,1020,0.833,0.005,0,4,,censustract_*_5yr.geo_id
bq407,covid19_usa,bigquery,2,20,22,2,1.000,0.100,1,0,9,156.9,70861,6165,58936,9,1058,1.000,0.009,1,3,,
bq137,census_bureau_usa,bigquery,2,13,13,2,1.000,0.154,1,1,3,271.9,132,126,6215,,,,,,,,
bq060,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,1,3,23.1,165,165,3518,7,119,1.000,0.059,1,0,,
bq338,census_bureau_acs_1,bigquery,1,20,87,1,1.000,0.050,1,0,12,917.4,69183,4472,53263,3,965,0.667,0.002,0,3,,censustract_*_5yr.total_pop
bq061,census_bureau_acs_1,bigquery,2,20,87,2,1.000,0.100,1,0,14,120.7,69183,4472,65487,4,918,1.000,0.004,1,3,,
bq064,census_bureau_acs_1,bigquery,3,20,87,2,0.667,0.100,0,0,80,219.4,69183,4472,57454,11,968,0.545,0.006,0,7,bigquery-public-data.geo_census_tracts.us_census_tracts_national,censustract_*_5yr.geo_id;us_census_tracts_national.functional_status;us_census_tracts_national.geo_id;us_census_tracts_national.tract_ce;us_census_tracts_national.tract_geom
bq461,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,1,2,284.3,505,505,12596,,,,,,,,
bq198,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,1,1,69.6,505,505,12728,3,344,1.000,0.009,1,4,,
bq462,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,1,1,63.5,505,505,11886,,,,,,,,
bq427,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,1,1,84.6,505,505,12422,,,,,,,,
bq428,ncaa_basketball,bigquery,2,10,10,2,1.000,0.200,1,1,4,84.4,505,505,12982,22,344,1.000,0.064,1,1,,
bq144,ncaa_insights,bigquery,3,15,15,3,1.000,0.200,1,0,8,307.3,552,552,13636,19,391,1.000,0.049,1,0,,
bq113,bls,bigquery,2,13,25,2,1.000,0.154,1,1,2,488.4,23205,492,5665,5,228,0.600,0.013,0,5,,states.geo_id;states.state_name
bq112,bls,bigquery,3,14,25,3,1.000,0.214,1,1,4,62.7,23205,492,6183,8,243,1.000,0.033,1,6,,
bq055,google_dei,bigquery,2,18,24,2,1.000,0.111,1,0,8,323.3,23134,436,6269,,,,,,,,
bq075,google_dei,bigquery,3,17,24,3,1.000,0.176,1,0,13,41.8,23134,436,5959,,,,,,,,
bq406,google_dei,bigquery,1,16,24,1,1.000,0.062,1,1,1,40.9,23134,436,5953,11,187,1.000,0.059,1,2,,
sf_bq084,GOOG_BLOCKCHAIN,snowflake,1,7,7,1,1.000,0.143,1,1,2,255.5,108,108,6647,,,,,,,,
sf_bq058,GOOG_BLOCKCHAIN,snowflake,1,7,7,1,1.000,0.143,1,1,4,31.4,108,108,6647,,,,,,,,
sf_bq416,GOOG_BLOCKCHAIN,snowflake,2,7,7,2,1.000,0.286,1,0,7,25.6,108,108,6647,,,,,,,,
sf_bq226,GOOG_BLOCKCHAIN,snowflake,2,7,7,2,1.000,0.286,1,1,2,14.8,108,108,6634,,,,,,,,
sf_bq016,DEPS_DEV_V1,snowflake,2,10,10,2,1.000,0.200,1,1,2,222.7,78,78,2789,,,,,,,,
sf_bq062,DEPS_DEV_V1,snowflake,1,10,10,1,1.000,0.100,1,1,2,9.2,78,78,2789,,,,,,,,
sf_bq063,DEPS_DEV_V1,snowflake,2,10,10,2,1.000,0.200,1,1,3,10.6,78,78,2789,,,,,,,,
sf_bq028,DEPS_DEV_V1,snowflake,3,10,10,3,1.000,0.300,1,1,6,8.7,78,78,2786,12,78,1.000,0.154,1,1,,
bq022,chicago,bigquery,1,2,2,1,1.000,0.500,1,1,1,217.0,45,45,1593,2,45,1.000,0.044,1,3,,
bq362,chicago,bigquery,1,2,2,1,1.000,0.500,1,1,1,9.0,45,45,1593,2,45,1.000,0.044,1,5,,
bq363,chicago,bigquery,1,2,2,1,1.000,0.500,1,1,1,11.7,45,45,1593,2,45,1.000,0.044,1,7,,
bq076,chicago,bigquery,1,2,2,1,1.000,0.500,1,1,1,11.9,45,45,1578,3,45,1.000,0.067,1,3,,
bq077,chicago,bigquery,1,2,2,1,1.000,0.500,1,1,1,8.3,45,45,1578,3,45,1.000,0.067,1,3,,
bq109,open_targets_genetics_1,bigquery,2,13,13,2,1.000,0.154,1,1,4,446.2,293,332,6121,13,321,1.000,0.040,1,2,,
sf_bq325,OPEN_TARGETS_GENETICS_2,snowflake,4,13,13,4,1.000,0.308,1,0,10,314.5,293,293,6983,,,,,,,,
bq090,CYMBAL_INVESTMENTS,bigquery,1,1,1,1,1.000,1.000,1,1,1,251.7,14,20,1004,4,20,1.000,0.200,1,2,,
bq442,CYMBAL_INVESTMENTS,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.0,14,20,1004,7,20,1.000,0.350,1,2,,
bq079,usfs_fia,bigquery,3,11,11,3,1.000,0.273,1,1,3,752.8,1050,1050,28931,,,,,,,,
bq024,usfs_fia,bigquery,3,11,11,3,1.000,0.273,1,1,3,85.7,1050,1050,28621,,,,,,,,
bq220,usfs_fia,bigquery,3,11,11,3,1.000,0.273,1,1,3,126.8,1050,1050,30934,,,,,,,,
bq096,gbif,bigquery,1,1,1,1,1.000,1.000,1,1,1,228.7,50,60,1366,5,60,1.000,0.083,1,1,,
sf_bq276,NOAA_PORTS,snowflake,3,17,17,3,1.000,0.176,1,1,4,363.1,401,387,11604,,,,,,,,
bq277,noaa_ports,bigquery,5,17,17,3,0.600,0.176,0,0,,403.1,414,399,10013,,,,,,,bigquery-public-data.persistent_udfs.azimuth_to_geog_point;bigquery-public-data.persistent_udfs.nautical_miles_conversion,
bq278,sunroof_solar,bigquery,2,2,2,2,1.000,1.000,1,1,2,488.5,64,64,2245,,,,,,,,
bq102,gnomAD,bigquery,1,8,8,1,1.000,0.125,1,1,2,718.6,10264,4691,40641,4,480,1.000,0.008,1,6,,
bq445,gnomAD,bigquery,1,8,8,1,1.000,0.125,1,1,1,160.3,10264,4691,10086,,,,,,,,
bq103,gnomAD,bigquery,1,8,8,1,1.000,0.125,1,1,3,139.4,10264,4691,9111,3,480,0.667,0.004,0,4,,v3_genomes__chr*.alternate_bases
sf_bq104,GOOGLE_TRENDS,snowflake,1,4,4,1,1.000,0.250,1,1,1,243.6,34,34,984,6,34,1.000,0.176,1,3,,
sf_bq411,GOOGLE_TRENDS,snowflake,1,4,4,1,1.000,0.250,1,1,1,6.3,34,34,984,,,,,,,,
bq105,nhtsa_traffic_fatalities_plus,bigquery,4,20,33,4,1.000,0.200,1,0,18,422.0,2862,813,36170,8,495,1.000,0.016,1,3,,
bq108,nhtsa_traffic_fatalities,bigquery,3,20,20,3,1.000,0.150,1,1,6,394.2,2730,687,35365,,,,,,,,
bq067,nhtsa_traffic_fatalities,bigquery,3,20,20,3,1.000,0.150,1,1,4,171.8,2730,687,35202,,,,,,,,
bq396,nhtsa_traffic_fatalities,bigquery,1,20,20,1,1.000,0.050,1,1,1,89.4,2730,687,36376,4,464,0.750,0.006,0,3,,accident_*.timestamp_of_crash
bq441,nhtsa_traffic_fatalities,bigquery,3,20,20,3,1.000,0.150,1,1,3,100.8,2730,687,35755,,,,,,,,
bq097,sdoh,bigquery,1,20,31,1,1.000,0.050,1,1,2,687.2,68863,4167,65819,4,1126,1.000,0.004,1,3,,
bq120,sdoh,bigquery,2,20,31,2,1.000,0.100,1,1,3,127.2,68863,4167,73339,7,1126,0.571,0.004,0,4,,county_*_*yr.income_10000_14999;county_*_*yr.income_15000_19999;county_*_*yr.income_less_10000
bq110,sdoh,bigquery,1,20,31,1,1.000,0.050,1,1,1,132.1,68863,4167,66136,4,1174,0.750,0.003,0,3,,hud_pit_by_coc.count_year
bq395,sdoh,bigquery,1,20,31,1,1.000,0.050,1,1,1,135.8,68863,4167,74240,3,1174,0.667,0.002,0,5,,hud_pit_by_coc.count_year
bq352,sdoh,bigquery,2,20,31,2,1.000,0.100,1,0,17,130.9,68863,4167,65793,7,980,1.000,0.007,1,3,,
bq074,sdoh,bigquery,2,20,31,2,1.000,0.100,1,1,5,363.1,68863,4167,72384,6,1126,1.000,0.005,1,6,,
bq066,sdoh,bigquery,2,20,31,2,1.000,0.100,1,1,4,134.3,68863,4167,63280,7,958,0.857,0.006,0,4,,county_*_*yr.geo_id
bq114,openaq,bigquery,2,20,33,2,1.000,0.100,1,0,8,386.0,891,891,24570,12,574,1.000,0.021,1,0,,
bq116,sec_quarterly_financials,bigquery,2,10,10,2,1.000,0.200,1,1,2,327.7,147,147,8430,,,,,,,,
bq041,stackoverflow,bigquery,3,16,16,3,1.000,0.188,1,1,6,312.7,228,228,6245,,,,,,,,
sf_bq121,STACKOVERFLOW,snowflake,2,16,16,2,1.000,0.125,1,1,2,526.9,228,228,2707,4,228,1.000,0.018,1,3,,
bq123,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,1,2,29.8,228,228,6390,5,228,1.000,0.022,1,4,,
bq280,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,1,4,17.5,228,228,6317,6,228,1.000,0.026,1,4,,
bq300,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,1,3,20.4,228,228,6416,5,228,1.000,0.022,1,2,,
bq301,stackoverflow,bigquery,3,16,16,3,1.000,0.188,1,0,11,30.9,228,228,6394,17,228,1.000,0.075,1,0,,
