instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
local220,EU_soccer,sqlite,5,9,9,5,1.000,0.556,1,0,8,10.6,
local228,IPL,sqlite,5,8,8,5,1.000,0.625,1,0,7,7.6,
local229,IPL,sqlite,2,8,8,2,1.000,0.250,1,0,6,5.2,
local244,music,sqlite,2,11,11,2,1.000,0.182,1,1,4,15.5,
local253,education_business,sqlite,1,9,18,1,1.000,0.111,1,1,1,19.4,
local258,IPL,sqlite,5,8,8,5,1.000,0.625,1,0,7,8.9,
local259,IPL,sqlite,5,8,8,5,1.000,0.625,1,0,6,9.5,
local262,stacking,sqlite,4,10,10,4,1.000,0.400,1,0,8,8.1,
local263,stacking,sqlite,2,10,10,2,1.000,0.200,1,1,3,5.3,
local264,stacking,sqlite,2,10,10,2,1.000,0.200,1,1,4,4.6,
local269,oracle_sql,sqlite,2,13,38,2,1.000,0.154,1,1,3,12.3,
local270,oracle_sql,sqlite,2,20,38,2,1.000,0.100,1,1,3,8.6,
local272,oracle_sql,sqlite,1,20,38,1,1.000,0.050,1,0,8,13.7,
local273,oracle_sql,sqlite,2,20,38,2,1.000,0.100,1,0,8,11.8,
local274,oracle_sql,sqlite,2,19,38,2,1.000,0.105,1,1,6,8.9,
local275,oracle_sql,sqlite,2,15,38,2,1.000,0.133,1,1,4,19.0,
local277,oracle_sql,sqlite,1,16,38,1,1.000,0.062,1,1,1,19.5,
local279,oracle_sql,sqlite,2,20,38,2,1.000,0.100,1,1,4,11.3,
local283,EU_soccer,sqlite,4,9,9,4,1.000,0.444,1,0,7,23.0,
local284,bank_sales_trading,sqlite,1,6,19,1,1.000,0.167,1,1,1,15.7,
local285,bank_sales_trading,sqlite,4,8,19,4,1.000,0.500,1,1,4,8.2,
local286,electronic_sales,sqlite,5,9,9,5,1.000,0.556,1,0,6,15.3,
local301,bank_sales_trading,sqlite,1,6,19,1,1.000,0.167,1,1,1,6.4,
local302,bank_sales_trading,sqlite,1,11,19,1,1.000,0.091,1,1,1,7.3,
local329,log,sqlite,1,12,18,1,1.000,0.083,1,1,2,15.4,
local330,log,sqlite,1,12,18,1,1.000,0.083,1,1,1,7.9,
local331,log,sqlite,1,2,18,1,1.000,0.500,1,1,1,6.1,
local358,log,sqlite,1,12,18,1,1.000,0.083,1,1,1,7.1,
local360,log,sqlite,1,12,18,1,1.000,0.083,1,1,1,8.3,
local344,f1,sqlite,7,12,29,7,1.000,0.583,1,0,10,42.8,
local336,f1,sqlite,7,12,29,6,0.857,0.500,0,0,10,29.3,lap_times_ext
local335,f1,sqlite,3,12,29,2,0.667,0.167,0,0,14,12.1,races
local309,f1,sqlite,4,12,29,3,0.750,0.250,0,0,13,9.1,races
local310,f1,sqlite,4,12,29,3,0.750,0.250,0,0,13,11.4,constructors
local311,f1,sqlite,4,12,29,4,1.000,0.333,1,0,9,11.8,
local354,f1,sqlite,2,12,29,2,1.000,0.167,1,0,9,23.9,
local355,f1,sqlite,5,12,29,3,0.600,0.250,0,0,16,14.8,driver_standings;driver_standings_ext
local356,f1,sqlite,8,12,29,8,1.000,0.667,1,0,10,12.3,
sf001,GLOBAL_WEATHER__CLIMATE_DATA_FOR_BI,snowflake,1,3,3,1,1.000,0.333,1,1,2,11.6,
sf003,GLOBAL_GOVERNMENT,snowflake,4,20,50,4,1.000,0.200,1,0,14,79.5,
sf002,FINANCE__ECONOMICS,snowflake,3,20,50,2,0.667,0.100,0,0,28,83.9,finance__economics.cybersyn.financial_institution_timeseries
sf044,FINANCE__ECONOMICS,snowflake,1,20,50,1,1.000,0.050,1,1,5,76.7,
sf006,FINANCE__ECONOMICS,snowflake,1,20,50,1,1.000,0.050,1,1,1,83.5,
sf008,US_REAL_ESTATE,snowflake,4,12,25,2,0.500,0.167,0,0,18,49.1,us_real_estate.cybersyn.geography_relationships;us_real_estate.cybersyn.irs_origin_destination_migration_timeseries
sf010,US_REAL_ESTATE,snowflake,3,12,25,2,0.667,0.167,0,0,16,23.0,us_real_estate.cybersyn.geography_index
sf037,US_REAL_ESTATE,snowflake,3,12,25,3,1.000,0.250,1,1,4,29.7,
sf012,WEATHER__ENVIRONMENT,snowflake,1,8,22,1,1.000,0.125,1,1,1,53.2,
sf018,BRAZE_USER_EVENT_DEMO_DATASET,snowflake,4,20,62,4,1.000,0.200,1,0,13,551.6,
sf035,BRAZE_USER_EVENT_DEMO_DATASET,snowflake,2,20,62,2,1.000,0.100,1,0,8,358.7,
sf029,AMAZON_VENDOR_ANALYTICS__SAMPLE_DATASET,snowflake,4,20,43,4,1.000,0.200,1,0,15,95.5,
sf040,US_ADDRESSES__POI,snowflake,4,7,7,4,1.000,0.571,1,0,6,17.8,
sf009,NETHERLANDS_OPEN_MAP_DATA,snowflake,2,3,3,2,1.000,0.667,1,1,3,10.3,
sf013,NETHERLANDS_OPEN_MAP_DATA,snowflake,2,3,3,2,1.000,0.667,1,1,2,7.0,
sf041,YES_ENERGY__SAMPLE_DATA,snowflake,6,12,19,5,0.833,0.417,0,0,12,53.8,yes_energy__sample_data.yes_energy_sample.dart_loads_sample
sf011,CENSUS_GALAXY__ZIP_CODE_TO_BLOCK_GROUP_SAMPLE,snowflake,2,8,8,2,1.000,0.250,1,1,3,18.0,
sf014,CENSUS_GALAXY__AIML_MODEL_DATA_ENRICHMENT_SAMPLE,snowflake,4,8,8,4,1.000,0.500,1,0,8,13.0,
