instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq425,EBI_CHEMBL,snowflake,5,20,170,3,0.600,0.150,0,0,47,45.4,5337,1213,5409,,,,,,,ebi_chembl.ebi_chembl.compound_records_*;ebi_chembl.ebi_chembl.formulations_*,
sf_bq430,EBI_CHEMBL,snowflake,4,20,170,4,1.000,0.200,1,0,15,72.8,5337,1213,9840,,,,,,,,
sf_bq023,FEC,snowflake,4,20,93,1,0.250,0.050,0,0,33,293.7,71832,4776,58583,,,,,,,fec.fec.indiv*;fec.geo_census_tracts.census_tracts_new_york;fec.hud_zipcode_crosswalk.zipcode_to_census_tracts,
sf_bq094,FEC,snowflake,4,20,93,1,0.250,0.050,0,0,30,112.8,71832,4776,58196,,,,,,,fec.fec.ccl*;fec.fec.cn*;fec.fec.indiv*,
sf_bq287,FDA,snowflake,4,13,27,4,1.000,0.308,1,0,8,31.0,1189,405,11491,,,,,,,,
sf_bq432,FDA,snowflake,1,15,27,1,1.000,0.067,1,1,1,69.1,1189,405,13407,,,,,,,,
sf_bq285,FDA,snowflake,4,14,27,4,1.000,0.286,1,0,13,13.4,1189,405,13541,,,,,,,,
sf_bq288,FDA,snowflake,1,10,27,1,1.000,0.100,1,1,1,15.3,1189,405,11112,,,,,,,,
sf_bq412,GOOGLE_ADS,snowflake,1,2,2,1,1.000,0.500,1,1,2,9.0,16,16,1016,4,16,1.000,0.250,1,9,,
sf_bq423,GOOGLE_ADS,snowflake,1,2,2,1,1.000,0.500,1,1,1,7.5,16,16,1016,,,,,,,,
sf_bq070,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,198.7,2100,2100,36238,16,2037,1.000,0.008,1,7,,
sf_bq320,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,2,180.5,2100,2100,36227,3,2037,1.000,0.001,1,0,,
sf_bq321,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,182.1,2100,2100,36085,3,2037,1.000,0.001,1,0,,
sf_bq323,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,182.1,2100,2100,36191,,,,,,,,
sf_bq417,IDC,snowflake,2,16,16,2,1.000,0.125,1,0,14,300.0,2100,2100,36164,,,,,,,,
sf_bq455,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,197.1,2100,2100,36259,16,2037,1.000,0.008,1,30,,
sf_bq456,IDC,snowflake,2,16,16,2,1.000,0.125,1,1,4,180.1,2100,2100,36189,,,,,,,,
sf_bq324,IDC,snowflake,1,16,16,1,1.000,0.062,1,1,1,180.3,2100,2100,36543,,,,,,,,
sf_bq418,TARGETOME_REACTOME,snowflake,6,9,9,6,1.000,0.667,1,0,9,12.1,58,58,2582,,,,,,,,
sf_bq330,FDA,snowflake,4,19,27,4,1.000,0.211,1,0,9,40.2,1189,405,14847,,,,,,,,
sf_bq398,WORLD_BANK,snowflake,2,20,21,2,1.000,0.100,1,0,7,28.5,313,313,13722,,,,,,,,
sf_bq399,WORLD_BANK,snowflake,2,20,21,2,1.000,0.100,1,0,16,14.7,313,313,13665,,,,,,,,
sf_bq457,LIBRARIES_IO,snowflake,3,7,7,3,1.000,0.429,1,1,4,19.6,163,163,3473,,,,,,,,
sf_bq227,LONDON,snowflake,1,2,2,1,1.000,0.500,1,1,1,8.0,39,39,854,,,,,,,,
sf_bq232,LONDON,snowflake,1,2,2,1,1.000,0.500,1,1,2,7.5,39,39,854,,,,,,,,
sf_bq228,LONDON,snowflake,1,2,2,1,1.000,0.500,1,1,1,6.5,39,39,854,,,,,,,,
sf_bq229,OPEN_IMAGES,snowflake,2,4,4,2,1.000,0.500,1,1,2,9.0,30,30,1430,,,,,,,,
sf_bq230,USDA_NASS_AGRICULTURE,snowflake,1,6,6,1,1.000,0.167,1,1,1,24.9,439,240,10847,,,,,,,,
sf_bq326,WORLD_BANK,snowflake,2,13,21,2,1.000,0.154,1,1,6,17.0,313,313,12524,,,,,,,,
sf_bq424,WORLD_BANK,snowflake,2,20,21,2,1.000,0.100,1,0,7,15.2,313,313,13713,,,,,,,,
sf_bq327,WORLD_BANK,snowflake,2,20,21,2,1.000,0.100,1,0,7,12.5,313,313,13722,,,,,,,,
sf_bq328,WORLD_BANK,snowflake,2,20,21,2,1.000,0.100,1,0,9,14.5,313,313,13551,,,,,,,,
sf_bq331,META_KAGGLE,snowflake,4,20,29,4,1.000,0.200,1,1,6,21.7,237,237,4637,,,,,,,,
sf_bq380,META_KAGGLE,snowflake,2,20,29,2,1.000,0.100,1,0,8,13.4,237,237,3968,,,,,,,,
sf_bq370,WIDE_WORLD_IMPORTERS,snowflake,5,18,31,5,1.000,0.278,1,0,8,28.3,368,368,5755,,,,,,,,
sf_bq371,WIDE_WORLD_IMPORTERS,snowflake,3,18,31,3,1.000,0.167,1,0,13,17.3,368,368,5615,,,,,,,,
sf_bq372,WIDE_WORLD_IMPORTERS,snowflake,5,20,31,5,1.000,0.250,1,0,14,13.1,368,368,6375,,,,,,,,
sf_bq373,WIDE_WORLD_IMPORTERS,snowflake,3,20,31,3,1.000,0.150,1,1,4,15.8,368,368,6027,,,,,,,,
sf_bq393,HACKER_NEWS,snowflake,1,1,1,1,1.000,1.000,1,1,1,8.5,14,14,266,,,,,,,,
sf_bq403,IRS_990,snowflake,1,4,4,1,1.000,0.250,1,1,1,37.9,2549,532,4688,,,,,,,,
sf_bq397,ECOMMERCE,snowflake,1,17,17,1,1.000,0.059,1,1,1,12.7,201,201,4659,,,,,,,,
sf_bq402,ECOMMERCE,snowflake,1,17,17,1,1.000,0.059,1,1,1,11.0,201,201,4666,,,,,,,,
sf_bq160,META_KAGGLE,snowflake,4,20,29,4,1.000,0.200,1,0,11,14.8,237,237,4321,,,,,,,,
sf_bq167,META_KAGGLE,snowflake,2,20,29,2,1.000,0.100,1,0,8,12.8,237,237,4128,6,200,1.000,0.030,1,3,,
sf_bq171,META_KAGGLE,snowflake,2,19,29,1,0.500,0.053,0,0,26,9.7,237,237,3616,,,,,,,meta_kaggle.meta_kaggle.users,
sf_bq118,DEATH,snowflake,4,20,24,3,0.750,0.150,0,0,23,11.0,99,91,2174,,,,,,,death.death.race,
sf_bq072,DEATH,snowflake,4,9,24,4,1.000,0.444,1,0,7,8.9,99,91,1405,10,61,1.000,0.164,1,6,,
sf_ga001,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.6,2116,23,939,4,23,1.000,0.174,1,4,,
sf_ga002,GA4,snowflake,1,1,1,1,1.000,1.000,1,0,,2.0,2116,23,923,,,,,,,,
sf_ga003,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,0,,1.8,2148,20,336,,,,,,,,
sf_ga004,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.8,2116,23,939,,,,,,,,
sf_ga008,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.4,2116,23,939,,,,,,,,
sf_ga017,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.1,2116,23,939,,,,,,,,
sf_ga007,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,18.6,2116,23,939,,,,,,,,
sf_ga013,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,18.7,2116,23,939,,,,,,,,
sf_ga018,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,21.7,2116,23,939,,,,,,,,
sf_ga031,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.3,2116,23,939,,,,,,,,
sf_ga032,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,21.6,2116,23,939,,,,,,,,
sf_ga006,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.6,2116,23,939,,,,,,,,
sf_ga009,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.4,2116,23,939,,,,,,,,
