instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_150,tracking_orders,2,4,7,2,1.000,0.500,1,1,0,0,2,3.3,
q_151,tracking_orders,2,4,7,2,1.000,0.500,1,1,0,0,2,3.2,
q_152,tracking_orders,4,4,7,4,1.000,1.000,1,0,2,2,4,3.2,
q_153,tracking_orders,4,4,7,4,1.000,1.000,1,0,2,2,4,3.2,
q_154,tracking_orders,4,4,7,4,1.000,1.000,1,0,2,2,4,3.7,
q_155,tracking_orders,4,4,7,4,1.000,1.000,1,0,2,2,4,3.2,
q_156,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,5.0,
q_157,geo,3,4,7,3,1.000,0.750,1,0,1,1,3,4.6,
q_158,geo,3,4,7,2,0.667,0.500,0,0,1,0,7,4.3,river
q_159,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.2,
q_160,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.3,
q_161,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.6,
q_162,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.5,
q_163,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.3,
q_164,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.3,
q_165,geo,2,4,7,2,1.000,0.500,1,0,1,1,3,4.3,
q_166,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.4,
q_167,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.4,
q_168,geo,2,4,7,1,0.500,0.250,0,0,1,0,7,4.7,river
q_169,geo,2,4,7,1,0.500,0.250,0,0,1,0,7,4.4,river
q_170,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,3.8,
q_171,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.7,
q_172,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.3,
q_173,geo,2,4,7,2,1.000,0.500,1,0,1,1,3,4.4,
q_174,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.4,
q_175,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,5.0,
q_176,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,4.4,
q_177,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,5.1,
q_178,geo,2,4,7,2,1.000,0.500,1,1,0,0,2,5.4,
q_179,geo,3,4,7,3,1.000,0.750,1,0,1,1,3,5.2,
q_180,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,4.1,author;writes
q_181,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,2.8,author;writes
q_182,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,2.8,
q_183,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,2.7,author;writes
q_184,scholar,2,4,10,1,0.500,0.250,0,0,1,0,6,3.5,author
q_185,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,2.9,author;writes
q_186,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,2.9,author;writes
q_187,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,3.1,
q_188,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,3.3,
q_189,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.0,author;writes
q_190,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,3.0,
q_191,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.2,author;writes
q_192,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.3,author;writes
q_193,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.0,author;writes
q_194,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,3.1,
q_195,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.3,author;writes
q_196,scholar,2,4,10,2,1.000,0.500,1,0,1,1,3,3.1,
q_197,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.1,author;writes
q_198,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.0,author;writes
q_199,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.1,author;writes
q_200,scholar,2,4,10,0,0.000,0.000,0,0,2,0,6,3.0,author;writes
q_201,scholar,4,4,10,2,0.500,0.500,0,0,3,1,7,3.3,keyphrase;writes
q_202,scholar,4,4,10,2,0.500,0.500,0,0,4,2,7,3.1,keyphrase;paperkeyphrase
q_203,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.2,keyphrase;paper;paperkeyphrase;writes
q_204,scholar,4,4,10,2,0.500,0.500,0,0,3,1,7,3.1,keyphrase;writes
q_205,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.2,keyphrase;paper;paperkeyphrase;writes
q_206,scholar,4,4,10,2,0.500,0.500,0,0,3,1,7,2.9,keyphrase;writes
q_207,scholar,4,4,10,2,0.500,0.500,0,0,4,2,8,3.0,keyphrase;paperkeyphrase
q_208,scholar,4,4,10,2,0.500,0.500,0,0,4,2,7,3.0,keyphrase;paperkeyphrase
q_209,scholar,4,4,10,2,0.500,0.500,0,0,4,2,7,3.0,keyphrase;paperkeyphrase
q_210,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.2,keyphrase;paper;paperkeyphrase;writes
q_211,scholar,4,4,10,2,0.500,0.500,0,0,3,1,7,2.9,keyphrase;writes
q_212,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,2.9,author;venue;writes
q_213,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.0,author;venue;writes
q_214,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.0,author;venue;writes
q_215,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.0,author;venue;writes
q_216,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.2,author;venue;writes
q_217,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.0,author;venue;writes
q_218,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.1,author;venue;writes
q_219,scholar,4,4,10,1,0.250,0.250,0,0,3,0,8,3.0,author;venue;writes
q_220,scholar,3,4,10,2,0.667,0.500,0,0,1,0,8,3.1,venue
q_221,scholar,3,4,10,2,0.667,0.500,0,0,1,0,8,3.4,venue
q_222,scholar,3,4,10,2,0.667,0.500,0,0,1,0,8,3.4,venue
q_223,scholar,3,4,10,2,0.667,0.500,0,0,1,0,8,3.4,venue
q_224,scholar,4,4,10,3,0.750,0.750,0,0,3,2,9,3.5,venue
q_225,scholar,4,4,10,3,0.750,0.750,0,0,3,2,9,3.4,venue
