instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq426,NEW_YORK_CITIBIKE_1,snowflake,4,20,21,4,1.000,0.200,1,0,7,29.8,3303,245,9887,,,,,,,,
sf_bq291,NOAA_GLOBAL_FORECAST_SYSTEM,snowflake,1,11,11,1,1.000,0.091,1,1,1,15.2,90,90,2448,3,90,1.000,0.033,1,10,,
bq208,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,8,40.4,3571,296,8423,,,,,,,,
bq047,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,1,4,20.0,3571,296,8446,,,,,,,,
bq048,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,1,3,19.0,3571,296,8392,,,,,,,,
bq293,new_york_geo,bigquery,2,20,24,2,1.000,0.100,1,1,6,67.5,670,424,10590,,,,,,,,
sf_bq017,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,11.4,86,86,2649,3,86,1.000,0.035,1,3,,
sf_bq131,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,9.1,86,86,2649,,,,,,,,
sf_bq349,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,3,9.4,86,86,2390,7,86,1.000,0.081,1,6,,
sf_bq007,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,185.3,68434,3724,59668,,,,,,,,
sf_bq429,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,88.2,68434,3724,53446,9,952,1.000,0.009,1,5,,
sf_bq073,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,15,78.0,68434,3724,59748,,,,,,,,
sf_bq410,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,1,0.500,0.050,0,0,21,83.4,68434,3724,51413,,,,,,,census_bureau_acs_2.cyclistic.state_fips,
sf_bq348,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,3,13.7,86,86,2390,,,,,,,,
sf_bq253,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,5,9.8,86,86,2649,,,,,,,,
sf_bq254,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,4,9.4,86,86,2648,4,86,1.000,0.047,1,2,,
sf_bq056,GEO_OPENSTREETMAP_BOUNDARIES,snowflake,2,20,25,2,1.000,0.100,1,0,14,25.5,261,247,6699,,,,,,,,
sf_bq289,GEO_OPENSTREETMAP_CENSUS_PLACES,snowflake,2,20,67,2,1.000,0.100,1,0,7,111.4,1056,1056,15090,5,272,1.000,0.018,1,3,,
sf_bq250,GEO_OPENSTREETMAP_WORLDPOP,snowflake,2,11,11,2,1.000,0.182,1,1,2,15.2,94,94,2885,9,94,1.000,0.096,1,5,,
sf_bq083,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,12,39.6,497,497,16992,3,278,1.000,0.011,1,1,,
