instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_130,customers_and_products_contacts,2,7,7,2,1.000,0.286,1,1,0,0,2,12.1,
q_131,customers_and_products_contacts,3,7,7,3,1.000,0.429,1,0,1,1,6,9.5,
q_132,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,7,12.7,
q_133,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,7,10.3,
q_134,cre_Theme_park,3,8,16,3,1.000,0.375,1,1,0,0,3,9.8,
q_135,cre_Theme_park,3,8,16,3,1.000,0.375,1,1,0,0,3,9.6,
q_136,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,7,9.5,
q_137,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,7,9.9,
q_138,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,8,10.0,
q_139,cre_Theme_park,3,8,16,3,1.000,0.375,1,0,1,1,7,10.3,
q_140,customers_and_addresses,4,7,7,4,1.000,0.571,1,1,0,0,4,10.3,
q_141,customers_and_addresses,4,7,7,4,1.000,0.571,1,1,0,0,4,8.6,
q_142,customers_and_addresses,4,7,7,4,1.000,0.571,1,1,0,0,4,5.0,
q_143,customers_and_addresses,4,7,7,4,1.000,0.571,1,1,0,0,4,4.8,
q_144,e_government,3,8,10,3,1.000,0.375,1,1,0,0,3,6.1,
q_145,e_government,3,8,10,3,1.000,0.375,1,1,0,0,3,4.7,
q_146,e_government,3,8,10,3,1.000,0.375,1,1,0,0,4,5.0,
q_147,e_government,3,6,10,3,1.000,0.500,1,1,0,0,3,5.1,
q_148,tracking_orders,2,7,7,2,1.000,0.286,1,1,0,0,2,5.3,
q_149,tracking_orders,2,7,7,2,1.000,0.286,1,1,0,0,2,4.3,
q_150,tracking_orders,2,7,7,2,1.000,0.286,1,1,0,0,2,4.3,
q_151,tracking_orders,2,7,7,2,1.000,0.286,1,1,0,0,2,4.6,
q_152,tracking_orders,4,6,7,4,1.000,0.667,1,1,0,0,4,4.5,
q_153,tracking_orders,4,6,7,4,1.000,0.667,1,1,0,0,4,4.5,
q_154,tracking_orders,4,7,7,4,1.000,0.571,1,1,0,0,4,4.4,
